,record_1,record_2,distance
0,<built-in function id>,[0 1 2 3 4],1410.42529296875
1,<built-in function id>,[0 1 2 3 4],1814.3052978515625
2,<built-in function id>,[0 1 2 3 4],2469.204833984375
3,<built-in function id>,[0 1 2 3 4],1353.039306640625
4,<built-in function id>,[0 1 2 3 4],1326.93896484375
5,<built-in function id>,[0 1 2 3 4],1849.74365234375
6,<built-in function id>,[0 1 2 3 4],1761.3309326171875
7,<built-in function id>,[0 1 2 3 4],873.496337890625
8,<built-in function id>,[0 1 2 3 4],1809.9013671875
9,<built-in function id>,[0 1 2 3 4],2948.52734375
